銀行番号,銀行名カナ,支店番号,支店名カナ
0001,ﾐｽﾞﾎ,001,ﾄｳｷﾖｳ
0001,ﾐｽﾞﾎ,004,ﾏﾙﾉｳﾁﾁﾕｳｵｳ
0001,ﾐｽﾞﾎ,005,ﾏﾙﾉｳﾁ
0001,ﾐｽﾞﾎ,009,ｶﾝﾀﾞｴｷﾏｴ
0001,ﾐｽﾞﾎ,013,ﾁﾖｳｿﾝｶｲｶﾝ
0001,ﾐｽﾞﾎ,015,ﾂｷﾁﾞ
0001,ﾐｽﾞﾎ,019,ｶｸﾃｲｷﾖｼﾕﾂﾈﾝｷﾝ
0001,ﾐｽﾞﾎ,020,ｵｼｱｹﾞ
0001,ﾐｽﾞﾎ,021,ｺｳｼﾞﾏﾁ
0001,ﾐｽﾞﾎ,022,ｱｻｸｻﾊﾞｼ
0001,ﾐｽﾞﾎ,024,ｷﾖｳﾊﾞｼ
0001,ﾐｽﾞﾎ,026,ﾔｴｽｸﾞﾁ
0001,ﾐｽﾞﾎ,027,ｶﾌﾞﾄﾁﾖｳ
0001,ﾐｽﾞﾎ,028,ｷﾞﾝｻﾞﾄﾞｵﾘ
0001,ﾐｽﾞﾎ,035,ｷﾞﾝｻﾞ
0001,ﾐｽﾞﾎ,036,ﾖﾂﾔ
0001,ﾐｽﾞﾎ,038,ﾆﾎﾝﾊﾞｼ
0001,ﾐｽﾞﾎ,040,ﾖｺﾔﾏﾁﾖｳ
0001,ﾐｽﾞﾎ,044,ｼﾛｶﾞﾈ
0001,ﾐｽﾞﾎ,046,ﾄﾗﾉﾓﾝ
0001,ﾐｽﾞﾎ,050,ﾎﾝｼﾞﾖ
0001,ﾐｽﾞﾎ,051,ｼﾝﾊﾞｼﾁﾕｳｵｳ
0001,ﾐｽﾞﾎ,053,ﾛﾂﾎﾟﾝｷﾞ
0001,ﾐｽﾞﾎ,054,ｼﾊﾞ
0001,ﾐｽﾞﾎ,057,ﾋﾛｵ
0001,ﾐｽﾞﾎ,061,ｲｲﾀﾞﾊﾞｼ
0001,ﾐｽﾞﾎ,064,ﾀｶﾀﾉﾊﾞﾊﾞ
0001,ﾐｽﾞﾎ,066,ｼﾝｼﾞﾕｸﾁﾕｳｵｳ
0001,ﾐｽﾞﾎ,068,ﾜｾﾀﾞ
0001,ﾐｽﾞﾎ,069,ｼﾝｼﾞﾕｸﾐﾅﾐｸﾞﾁ
0001,ﾐｽﾞﾎ,075,ﾎﾝｺﾞｳ
0001,ﾐｽﾞﾎ,078,ﾄｳｷﾖｳﾎｳｼﾞﾝ
0001,ﾐｽﾞﾎ,080,ｵｵｻｶﾎｳｼﾞﾝ
0001,ﾐｽﾞﾎ,081,ｺｳﾍﾞﾎｳｼﾞﾝ
0001,ﾐｽﾞﾎ,082,ﾅｺﾞﾔﾎｳｼﾞﾝ
0001,ﾐｽﾞﾎ,083,ﾌｸｵｶﾎｳｼﾞﾝ
0001,ﾐｽﾞﾎ,084,ｾﾝﾀﾞｲﾎｳｼﾞﾝ
0001,ﾐｽﾞﾎ,085,ﾄﾔﾏﾎｳｼﾞﾝ
0001,ﾐｽﾞﾎ,086,ﾋﾛｼﾏﾎｳｼﾞﾝ
